,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
88,"frozenset({'V1_Gladiator', 'V2_Patriot'})",frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
89,"frozenset({'Gladiator', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
90,frozenset({'V1_Gladiator'}),"frozenset({'Gladiator', 'V2_Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
91,frozenset({'Gladiator'}),"frozenset({'V1_Gladiator', 'V2_Patriot'})",0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
92,frozenset({'V2_Patriot'}),"frozenset({'V1_Gladiator', 'Gladiator'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
93,"frozenset({'V1_Gladiator', 'V3_Sixth Sense'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
94,"frozenset({'Gladiator', 'V3_Sixth Sense'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
95,frozenset({'V3_Sixth Sense'}),"frozenset({'V1_Gladiator', 'Gladiator'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
96,"frozenset({'Gladiator', 'V3_Sixth Sense'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
97,"frozenset({'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
98,frozenset({'V3_Sixth Sense'}),"frozenset({'Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
99,"frozenset({'V1_Gladiator', 'Patriot'})",frozenset({'V2_Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
100,"frozenset({'V1_Gladiator', 'V2_Patriot'})",frozenset({'Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
101,"frozenset({'Patriot', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
102,frozenset({'V1_Gladiator'}),"frozenset({'Patriot', 'V2_Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
103,frozenset({'Patriot'}),"frozenset({'V1_Gladiator', 'V2_Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
104,frozenset({'V2_Patriot'}),"frozenset({'V1_Gladiator', 'Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
105,"frozenset({'V1_Gladiator', 'V3_Sixth Sense'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
106,"frozenset({'Patriot', 'V3_Sixth Sense'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
107,frozenset({'V3_Sixth Sense'}),"frozenset({'V1_Gladiator', 'Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
108,"frozenset({'Patriot', 'V3_Sixth Sense'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
109,"frozenset({'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
110,frozenset({'V3_Sixth Sense'}),"frozenset({'Patriot', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
111,"frozenset({'V4_Green Mile', 'V1_Sixth Sense'})",frozenset({'Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
112,"frozenset({'V4_Green Mile', 'Green Mile'})",frozenset({'V1_Sixth Sense'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
113,"frozenset({'Green Mile', 'V1_Sixth Sense'})",frozenset({'V4_Green Mile'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
114,frozenset({'V4_Green Mile'}),"frozenset({'Green Mile', 'V1_Sixth Sense'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
115,frozenset({'V1_Sixth Sense'}),"frozenset({'V4_Green Mile', 'Green Mile'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
116,frozenset({'Green Mile'}),"frozenset({'V4_Green Mile', 'V1_Sixth Sense'})",0.2,0.2,0.2,1.0,5.0,0.16,inf
117,"frozenset({'V1_Gladiator', 'V3_Sixth Sense'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
118,"frozenset({'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
119,frozenset({'V3_Sixth Sense'}),"frozenset({'V1_Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
120,"frozenset({'Sixth Sense', 'V1_Gladiator', 'Gladiator'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
121,"frozenset({'Sixth Sense', 'V1_Gladiator', 'Patriot'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
122,"frozenset({'Sixth Sense', 'Patriot', 'Gladiator'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
123,"frozenset({'Sixth Sense', 'V1_Gladiator'})","frozenset({'Patriot', 'Gladiator'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
124,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'V1_Gladiator', 'Patriot'})",0.5,0.6,0.4,0.8,1.3333333333333335,0.10000000000000003,2.0000000000000004
125,"frozenset({'Sixth Sense', 'Patriot'})","frozenset({'V1_Gladiator', 'Gladiator'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
126,"frozenset({'Sixth Sense', 'Gladiator', 'Patriot'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
127,"frozenset({'Sixth Sense', 'Patriot', 'V2_Patriot'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
128,"frozenset({'Sixth Sense', 'Gladiator', 'V2_Patriot'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
129,"frozenset({'Sixth Sense', 'Patriot'})","frozenset({'Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
130,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'Patriot', 'V2_Patriot'})",0.5,0.6,0.4,0.8,1.3333333333333335,0.10000000000000003,2.0000000000000004
131,"frozenset({'Sixth Sense', 'V2_Patriot'})","frozenset({'Gladiator', 'Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
132,"frozenset({'Sixth Sense', 'Gladiator', 'Patriot'})",frozenset({'V3_Sixth Sense'}),0.4,0.4,0.4,1.0,2.5,0.24,inf
133,"frozenset({'Sixth Sense', 'Patriot', 'V3_Sixth Sense'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
134,"frozenset({'Sixth Sense', 'Gladiator', 'V3_Sixth Sense'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
135,"frozenset({'Gladiator', 'Patriot', 'V3_Sixth Sense'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
136,"frozenset({'Sixth Sense', 'Patriot'})","frozenset({'Gladiator', 'V3_Sixth Sense'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
137,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'Patriot', 'V3_Sixth Sense'})",0.5,0.4,0.4,0.8,2.0,0.2,3.0000000000000004
138,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})","frozenset({'Gladiator', 'Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
139,"frozenset({'Patriot', 'V3_Sixth Sense'})","frozenset({'Sixth Sense', 'Gladiator'})",0.4,0.5,0.4,1.0,2.0,0.2,inf
140,"frozenset({'Gladiator', 'V3_Sixth Sense'})","frozenset({'Sixth Sense', 'Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
141,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'Gladiator', 'Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
142,"frozenset({'Sixth Sense', 'V1_Gladiator', 'Gladiator'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
143,"frozenset({'Sixth Sense', 'V1_Gladiator', 'V2_Patriot'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
144,"frozenset({'Sixth Sense', 'Gladiator', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
145,"frozenset({'Sixth Sense', 'V1_Gladiator'})","frozenset({'Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
146,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'V1_Gladiator', 'V2_Patriot'})",0.5,0.6,0.4,0.8,1.3333333333333335,0.10000000000000003,2.0000000000000004
147,"frozenset({'Sixth Sense', 'V2_Patriot'})","frozenset({'V1_Gladiator', 'Gladiator'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
148,"frozenset({'Sixth Sense', 'V1_Gladiator', 'Gladiator'})",frozenset({'V3_Sixth Sense'}),0.4,0.4,0.4,1.0,2.5,0.24,inf
149,"frozenset({'Sixth Sense', 'V1_Gladiator', 'V3_Sixth Sense'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
150,"frozenset({'Sixth Sense', 'Gladiator', 'V3_Sixth Sense'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
151,"frozenset({'V1_Gladiator', 'Gladiator', 'V3_Sixth Sense'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
152,"frozenset({'Sixth Sense', 'V1_Gladiator'})","frozenset({'Gladiator', 'V3_Sixth Sense'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
153,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'V1_Gladiator', 'V3_Sixth Sense'})",0.5,0.4,0.4,0.8,2.0,0.2,3.0000000000000004
154,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})","frozenset({'V1_Gladiator', 'Gladiator'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
155,"frozenset({'V1_Gladiator', 'V3_Sixth Sense'})","frozenset({'Sixth Sense', 'Gladiator'})",0.4,0.5,0.4,1.0,2.0,0.2,inf
156,"frozenset({'Gladiator', 'V3_Sixth Sense'})","frozenset({'Sixth Sense', 'V1_Gladiator'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
157,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'V1_Gladiator', 'Gladiator'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
158,"frozenset({'Sixth Sense', 'Gladiator', 'V3_Sixth Sense'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
159,"frozenset({'Sixth Sense', 'Gladiator', 'V2_Patriot'})",frozenset({'V3_Sixth Sense'}),0.4,0.4,0.4,1.0,2.5,0.24,inf
160,"frozenset({'Sixth Sense', 'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
161,"frozenset({'Gladiator', 'V3_Sixth Sense', 'V2_Patriot'})",frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
162,"frozenset({'Sixth Sense', 'Gladiator'})","frozenset({'V3_Sixth Sense', 'V2_Patriot'})",0.5,0.4,0.4,0.8,2.0,0.2,3.0000000000000004
163,"frozenset({'Sixth Sense', 'V3_Sixth Sense'})","frozenset({'Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
164,"frozenset({'Sixth Sense', 'V2_Patriot'})","frozenset({'Gladiator', 'V3_Sixth Sense'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
165,"frozenset({'Gladiator', 'V3_Sixth Sense'})","frozenset({'Sixth Sense', 'V2_Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
166,"frozenset({'V3_Sixth Sense', 'V2_Patriot'})","frozenset({'Sixth Sense', 'Gladiator'})",0.4,0.5,0.4,1.0,2.0,0.2,inf
167,frozenset({'V3_Sixth Sense'}),"frozenset({'Sixth Sense', 'Gladiator', 'V2_Patriot'})",0.4,0.4,0.4,1.0,2.5,0.24,inf
168,"frozenset({'Sixth Sense', 'V1_Gladiator', 'Patriot'})",frozenset({'V2_Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
169,"frozenset({'Sixth Sense', 'V1_Gladiator', 'V2_Patriot'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
170,"frozenset({'Sixth Sense', 'Patriot', 'V2_Patriot'})",frozenset({'V1_Gladiator'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
171,"frozenset({'Sixth Sense', 'V1_Gladiator'})","frozenset({'Patriot', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
172,"frozenset({'Sixth Sense', 'Patriot'})","frozenset({'V1_Gladiator', 'V2_Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
